Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
Casas Bahia,4 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-16
Ponto,15 pt/R$,3 pt/R$,15 pt/R$,10 pt/R$,1 pt/R$,11 pt/R$,2024-04-16
Magazine Luiza,3 pt/R$,3 pt/R$,1 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-16
Extra,4 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,1 pt/R$,1 pt/R$,2024-04-16
Lojas Renner,6 pt/R$,3 pt/R$,2 pt/R$,3 pt/R$,6 pt/R$,2 pt/R$,2024-04-16
Booking,8 pt/U$,8 pt/U$,,,4 pt/U$,4 pt/U$,2024-04-16
Netshoes,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,3 pt/R$,2024-04-16
Amazon,1 pt/R$,,,,1 pt/R$,1 pt/R$,2024-04-16
Camicado,4 pt/R$,1 pt/R$,2 pt/R$,3 pt/R$,2 pt/R$,1 pt/R$,2024-04-16
Fast Shop,3 pt/R$,3 pt/R$,,3 pt/R$,1 pt/R$,,2024-04-16
Aliexpress,5 pt/U$,,,,3 pt/U$,,2024-04-16
Polishop,12 pt/R$,3 pt/R$,,12 pt/R$,,3 pt/R$,2024-04-16
Movida,4 pt/R$,4 pt/R$,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-16
Hoteis.com,7 pt/U$,7 pt/U$,,,4 pt/R$,4 pt/R$,2024-04-16
Natura,4 pt/R$,,4 pt/R$,,4 pt/R$,4 pt/R$,2024-04-16
Petlove,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-16
Zattini,3 pt/R$,3 pt/R$,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-16
Riachuelo,3 pt/R$,,3 pt/R$,,3 pt/R$,3 pt/R$,2024-04-16
Insider Store,14 pt/R$,,,,14 pt/R$,12 pt/R$,2024-04-16
Decolar,12 pt/R$,,,,12 pt/R$,1 pt/R$,2024-04-16
Portal das Malas,2 pt/R$,2 pt/R$,2 pt/R$,,1 pt/R$,,2024-04-16
Top Store,3 pt/R$,,2 pt/R$,3 pt/R$,1 pt/R$,,2024-04-16
Unidas,2 pt/R$,,2 pt/R$,,2 pt/R$,2 pt/R$,2024-04-16
Baianão,10 pt/R$,,,,10 pt/R$,,2024-04-16
Decathlon,8 pt/R$,,,,2 pt/R$,,2024-04-16
Rentcars,10 pt/U$,2 pt/R$,1 pt/R$,,10 pt/U$,,2024-04-16
Localiza,8 pt/R$,,,,8 pt/R$,,2024-04-16
Reserva,2 pt/R$,,,,2 pt/R$,2 pt/R$,2024-04-16
Petlove Saúde,16 pt/R$,,6 pt/R$,,10 pt/R$,16 pt/R$,2024-04-16
Rentalcars,6 pt/U$,4 pt/U$,,,6 pt/U$,,2024-04-16
Samsung,1 pt/R$,,,,,,2024-04-16
Assist Card,12 pt/R$,,10 pt/R$,,12 pt/R$,,2024-04-16
